,0
1080,ABalpapaappp
1081,ABalpapaapppa
1082,ABalpapaapppp
1083,ABalpapaappppa
1084,ABalpapaappppp
1085,ABalpapaapppppa
1086,ABalpapaapppppp
1087,ABalpapap
1088,ABalpapapa
1089,ABalpapapaa
1090,ABalpapapaaa
1091,ABalpapapaap
1092,ABalpapapaapa
1093,ABalpapapaapp
1094,ABalpapapap
1095,ABalpapapapa
1096,ABalpapapapaa
1097,ABalpapapapaaa
1098,ABalpapapapaaaa
1099,ABalpapapapaaap
1100,ABalpapapapaap
1101,ABalpapapapap
1102,ABalpapapapp
1103,ABalpapapappa
1104,ABalpapapappaa
1105,ABalpapapappap
1106,ABalpapapappapa
1107,ABalpapapappapaa
1108,ABalpapapappapap
1109,ABalpapapappapp
1110,ABalpapapappp
1111,ABalpapapp
1112,ABalpapappa
1113,ABalpapappaa
1114,ABalpapappap
1115,ABalpapappapa
1116,ABalpapappapp
1117,ABalpapappappa
1118,ABalpapappappp
1119,ABalpapappapppa
1120,ABalpapappapppp
1121,ABalpapappp
1122,ABalpapapppa
1123,ABalpapapppaa
1124,ABalpapapppaaa
1125,ABalpapapppaap
1126,ABalpapapppap
1127,ABalpapapppapa
1128,ABalpapapppapp
1129,ABalpapapppp
1130,ABalpapappppa
1131,ABalpapappppaa
1132,ABalpapappppap
1133,ABalpapappppp
1134,ABalpapapppppa
1135,ABalpapapppppp
1136,ABalpapp
1137,ABalpappa
1138,ABalpappaa
1139,ABalpappaaa
1140,ABalpappaaaa
1141,ABalpappaaap
1142,ABalpappaaapa
1143,ABalpappaaapaa
